source,seed,is_real_data,duration_sec,n_mel_frames,bits_per_dim,bits_per_frame,bits_per_sec,structural_bonus,mse,frame_var,plateau_slope,n_params,time_hrs
speech_ljspeech_REAL,42,True,19919.967709750566,857882,1.8852513790945782,241.312176524106,10392.448227258863,1.8852513790945782,0.07087383261335908,0.96720904,-8.749006970059077e-08,4296320,0.10715615391731262
speech_ljspeech_REAL,137,True,19919.967709750566,857882,1.8876197907133712,241.6153332113115,10405.504096307459,1.8876197907133712,0.07064151304595075,0.96720904,-8.539712150325448e-08,4296320,0.10743169261349572
speech_ljspeech_REAL,2024,True,19919.967709750566,857882,1.8846401968470134,241.23394519641772,10389.079085119161,1.8846401968470134,0.0709339079348574,0.96720904,-9.189623455519418e-08,4296320,0.10829024248652988
music_synthetic,42,False,600.0,25840,2.669734310035237,341.72599168451035,14716.910384069244,2.669734310035237,0.02424886060783247,0.9818193,-4.46064154738352e-08,4296320,0.11549920909934573
music_synthetic,137,False,600.0,25840,2.6734088532669307,342.1963332181671,14737.166303633956,2.6734088532669307,0.024125651027911144,0.9818193,-4.474612973861459e-08,4296320,0.11326469156477187
music_synthetic,2024,False,600.0,25840,2.700192056042504,345.6245831734405,14884.808708934303,2.700192056042504,0.023246305809460164,0.9818193,-4.42108688572154e-08,4296320,0.11370920737584432
noise_control,42,False,300.0,12920,0.0,0.0,0.0,0.0,1.0172009332061493,1.0011344,-7.904259893785857e-08,4296320,0.11746104386117723
noise_control,137,False,300.0,12920,0.0,0.0,0.0,0.0,1.0141722011488439,1.0011344,-7.738397232639616e-08,4296320,0.11752281652556526
noise_control,2024,False,300.0,12920,0.0,0.0,0.0,0.0,1.0155923613320548,1.0011344,-7.693781006678496e-08,4296320,0.11819360964828067
silence_control,42,False,60.0,2584,0.0,0.0,0.0,0.0,1.014772765415231,0.99193996,-1.3249355643953652e-08,4296320,0.16296969890594482
silence_control,137,False,60.0,2584,0.0,0.0,0.0,0.0,1.021398536323272,0.99193996,-1.3216411256711011e-08,4296320,0.1628225846423043
silence_control,2024,False,60.0,2584,0.0,0.0,0.0,0.0,1.0031185297621894,0.99193996,-1.3246374186932163e-08,4296320,0.15766032079855602
