shuffle_level,seed,mse_per_dim,bits_per_pixel,bits_per_patch,n_params,train_time_hrs,img_size,patch_size,structural_bonus,delta_from_original
original,42,0.024140106519063315,0.7614502415647536,584.7937855217308,34438400,0.21945974422825706,96,16,0.6922795547002879,0.0
quadrant_shuffled,42,0.03887226831345331,0.4177956147311561,320.8670321135279,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.3436546268335975
block_4x4_shuffled,42,0.048097739646548315,0.2641817145245615,202.89155675486325,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.4972685270401921
patch_shuffled,42,0.0881707955678304,0.0,0.0,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.7614502415647536
row_shuffled,42,0.04438364796411423,0.32215213766094225,247.41284172360366,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.43929810390381135
pixel_shuffled,42,0.06302792431059338,0.06917068686446566,53.12308751190963,34438400,0.21945974422825706,96,16,0.6922795547002879,-0.6922795547002879
original,137,0.024158725684029714,0.7608940836398537,584.3666562354076,34438400,0.2186543428235584,96,16,0.6899190655159904,0.0
quadrant_shuffled,137,0.03878097987402053,0.4194916344419259,322.16957525139907,34438400,0.2186543428235584,96,16,0.6899190655159904,-0.3414024491979278
block_4x4_shuffled,137,0.048011319151378816,0.26547897468894543,203.8878525611101,34438400,0.2186543428235584,96,16,0.6899190655159904,-0.49541510895090823
patch_shuffled,137,0.08744245956057593,0.0,0.0,34438400,0.2186543428235584,96,16,0.6899190655159904,-0.7608940836398537
row_shuffled,137,0.04464034790765672,0.3179921271118394,244.21795362189266,34438400,0.2186543428235584,96,16,0.6899190655159904,-0.4429019565280143
pixel_shuffled,137,0.06287046741303944,0.0709750181238633,54.50881391912701,34438400,0.2186543428235584,96,16,0.6899190655159904,-0.6899190655159904
